"","DATA_OC","DT_HR_LOCAL","NAME_OBJETO","NAME_SETOR","CD_ID_FRAME"
"322","{""PRENSA"":{""ESTADO"":""OPERANDO"",""OPERADOR"":""TRABALHANDO""},""BOBINA"":{""ESTADO"":""OPERANDO"",""VOLUME"":""ALTO""}}",2025-11-08 11:21:24,"SETREMA","CORTE-ESTAMPO","328598"
"323","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:21:25,"DOBRA","DOBRA","328612"
"324","{""PRENSA"":{""ESTADO"":""OPERANDO"",""OPERADOR"":""AUSENTE""},""BOBINA"":{""ESTADO"":""OPERANDO"",""VOLUME"":""ALTO""}}",2025-11-08 11:21:27,"SETREMA","CORTE-ESTAMPO","328652"
"325","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:21:44,"DOBRA","DOBRA","328888"
"326","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:21:47,"DOBRA","DOBRA","328939"
"327","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""PARADO""}}",2025-11-08 11:21:57,"DOBRA","DOBRA","329095"
"328","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:22:01,"DOBRA","DOBRA","329149"
"329","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""PARADO""}}",2025-11-08 11:22:19,"DOBRA","DOBRA","329413"
"330","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:22:26,"DOBRA","DOBRA","329523"
"331","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""PARADO""}}",2025-11-08 11:22:30,"DOBRA","DOBRA","329578"
"332","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:22:33,"DOBRA","DOBRA","329633"
"333","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:22:37,"DOBRA","DOBRA","329688"
"334","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:23:05,"DOBRA","DOBRA","330103"
"335","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:23:08,"DOBRA","DOBRA","330157"
"336","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:23:19,"DOBRA","DOBRA","330319"
"337","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""PARADO""}}",2025-11-08 11:23:23,"DOBRA","DOBRA","330374"
"338","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:23:26,"DOBRA","DOBRA","330428"
"339","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""PARADO""}}",2025-11-08 11:23:30,"DOBRA","DOBRA","330481"
"340","{""DOBRA"":{""ESTADO"":""PARADO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:23:44,"DOBRA","DOBRA","330704"
"341","{""DOBRA"":{""ESTADO"":""OPERANDO""},""SOLDA"":{""ESTADO"":""OPERANDO""}}",2025-11-08 11:23:55,"DOBRA","DOBRA","330854"
